year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,fire_on_peatlands_hectares
"2015","INDONESIA","ID","KOLAKA TIMUR","ID-7411","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","KOLAKA UTARA","ID-7408","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","KONAWE","ID-7403","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","KONAWE KEPULAUAN","ID-7412","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","KONAWE SELATAN","ID-7405","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","KONAWE UTARA","ID-7410","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","KOTABARU","ID-6302","KALIMANTAN SELATAN","ID-63","0"
"2015","INDONESIA","ID","KOTAMOBAGU (KOTA)","ID-7174","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","KOTAWARINGIN BARAT","ID-6201","KALIMANTAN TENGAH","ID-62","29156.9403529499"
"2015","INDONESIA","ID","KOTAWARINGIN TIMUR","ID-6202","KALIMANTAN TENGAH","ID-62","51201.4867058909"
"2015","INDONESIA","ID","KUANTAN SINGINGI","ID-1401","RIAU","ID-14","663.212470588254"
"2015","INDONESIA","ID","KUBU RAYA","ID-6112","KALIMANTAN BARAT","ID-61","5275.1774117649"
"2015","INDONESIA","ID","KUDUS","ID-3319","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","KULON PROGO","ID-3401","D I YOGYAKARTA","ID-34","0"
"2015","INDONESIA","ID","KUNINGAN","ID-3208","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","KUPANG","ID-5303","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","KUPANG (KOTA)","ID-5371","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","KUTAI BARAT","ID-6402","KALIMANTAN TIMUR","ID-64","0"
"2015","INDONESIA","ID","KUTAI KARTANEGARA","ID-6403","KALIMANTAN TIMUR","ID-64","562.174941176485"
"2015","INDONESIA","ID","KUTAI TIMUR","ID-6404","KALIMANTAN TIMUR","ID-64","37.4647058823531"
"2015","INDONESIA","ID","LABUHAN BATU","ID-1207","SUMATERA UTARA","ID-12","1574.15752941181"
