year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,burned_areas_hectares
"2015","INDONESIA","ID","ENREKANG","ID-7316","SULAWESI SELATAN","ID-73","63.5191764705882"
"2015","INDONESIA","ID","FAKFAK","ID-9101","PAPUA BARAT","ID-91","4642.19400000095"
"2015","INDONESIA","ID","FLORES TIMUR","ID-5309","NUSA TENGGARA TIMUR","ID-53","4989.31235294123"
"2015","INDONESIA","ID","GARUT","ID-3205","JAWA BARAT","ID-32","988.43082352937"
"2015","INDONESIA","ID","GAYO LUES","ID-1113","ACEH","ID-11","0"
"2015","INDONESIA","ID","GIANYAR","ID-5104","BALI","ID-51","0"
"2015","INDONESIA","ID","GORONTALO","ID-7502","GORONTALO","ID-75","2913.80082352941"
"2015","INDONESIA","ID","GORONTALO (KOTA)","ID-7571","GORONTALO","ID-75","0"
"2015","INDONESIA","ID","GORONTALO UTARA","ID-7505","GORONTALO","ID-75","187.209176470594"
"2015","INDONESIA","ID","GOWA","ID-7306","SULAWESI SELATAN","ID-73","412.534588235303"
"2015","INDONESIA","ID","GRESIK","ID-3525","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","GROBOGAN","ID-3315","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","GUNUNG KIDUL","ID-3403","D I YOGYAKARTA","ID-34","0.304941176470588"
"2015","INDONESIA","ID","GUNUNG MAS","ID-6211","KALIMANTAN TENGAH","ID-62","461.779411764715"
"2015","INDONESIA","ID","GUNUNG SITOLI (KOTA)","ID-1278","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","HALMAHERA BARAT","ID-8201","MALUKU UTARA","ID-82","3339.34764705889"
"2015","INDONESIA","ID","HALMAHERA SELATAN","ID-8204","MALUKU UTARA","ID-82","2430.36423529392"
"2015","INDONESIA","ID","HALMAHERA TENGAH","ID-8202","MALUKU UTARA","ID-82","4907.24576470854"
"2015","INDONESIA","ID","HALMAHERA TIMUR","ID-8206","MALUKU UTARA","ID-82","287.51752941177"
"2015","INDONESIA","ID","HALMAHERA UTARA","ID-8205","MALUKU UTARA","ID-82","2588.54894117582"
"2015","INDONESIA","ID","HULU SUNGAI SELATAN","ID-6306","KALIMANTAN SELATAN","ID-63","29228.3241176637"
"2015","INDONESIA","ID","HULU SUNGAI TENGAH","ID-6307","KALIMANTAN SELATAN","ID-63","1820.75011764694"
"2015","INDONESIA","ID","HULU SUNGAI UTARA","ID-6308","KALIMANTAN SELATAN","ID-63","1579.46717647034"
"2015","INDONESIA","ID","HUMBANG HASUNDUTAN","ID-1215","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","INDRAGIRI HILIR","ID-1403","RIAU","ID-14","13183.3701176457"
"2015","INDONESIA","ID","INDRAGIRI HULU","ID-1402","RIAU","ID-14","32611.7223529503"
"2015","INDONESIA","ID","INDRAMAYU","ID-3212","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","INTAN JAYA","ID-9435","PAPUA","ID-94","0"
"2015","INDONESIA","ID","JAKARTA BARAT (KOTA)","ID-3174","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","JAKARTA PUSAT (KOTA)","ID-3173","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","JAKARTA SELATAN (KOTA)","ID-3171","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","JAKARTA TIMUR (KOTA)","ID-3172","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","JAKARTA UTARA (KOTA)","ID-3175","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","JAMBI (KOTA)","ID-1571","JAMBI","ID-15","0"
"2015","INDONESIA","ID","JAYAPURA","ID-9403","PAPUA","ID-94","0"
"2015","INDONESIA","ID","JAYAPURA (KOTA)","ID-9471","PAPUA","ID-94","0"
"2015","INDONESIA","ID","JAYAWIJAYA","ID-9402","PAPUA","ID-94","5645.05411764712"
"2015","INDONESIA","ID","JEMBER","ID-3509","JAWA TIMUR","ID-35","1205.70317647061"
"2015","INDONESIA","ID","JEMBRANA","ID-5101","BALI","ID-51","421.469999999962"
"2015","INDONESIA","ID","JENEPONTO","ID-7304","SULAWESI SELATAN","ID-73","1258.27905882351"
"2015","INDONESIA","ID","JEPARA","ID-3320","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","JOMBANG","ID-3517","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","KAIMANA","ID-9102","PAPUA BARAT","ID-91","0"
"2015","INDONESIA","ID","KAMPAR","ID-1406","RIAU","ID-14","7025.75858823507"
"2015","INDONESIA","ID","KAPUAS","ID-6203","KALIMANTAN TENGAH","ID-62","201622.165058956"
"2015","INDONESIA","ID","KAPUAS HULU","ID-6108","KALIMANTAN BARAT","ID-61","1166.87576470584"
