year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
"2001","INDONESIA","ID","DOGIYAI","ID-9434","PAPUA","ID-94","61247.2722353673"
"2001","INDONESIA","ID","DOMPU","ID-5205","NUSA TENGGARA BARAT","ID-52","48648.4912941582"
"2001","INDONESIA","ID","DONGGALA","ID-7205","SULAWESI TENGAH","ID-72","684099.563646017"
"2001","INDONESIA","ID","DUMAI (KOTA)","ID-1473","RIAU","ID-14","5697.55623529369"
"2001","INDONESIA","ID","EMPAT LAWANG","ID-1611","SUMATERA SELATAN","ID-16","61099.5229412306"
"2001","INDONESIA","ID","ENDE","ID-5311","NUSA TENGGARA TIMUR","ID-53","10199.7434117689"
"2001","INDONESIA","ID","ENREKANG","ID-7316","SULAWESI SELATAN","ID-73","60507.9190588816"
"2001","INDONESIA","ID","FAKFAK","ID-9101","PAPUA BARAT","ID-91","1499561.12081239"
"2001","INDONESIA","ID","FLORES TIMUR","ID-5309","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","GARUT","ID-3205","JAWA BARAT","ID-32","42607.299529418"
"2001","INDONESIA","ID","GAYO LUES","ID-1113","ACEH","ID-11","127536.260470755"
"2001","INDONESIA","ID","GIANYAR","ID-5104","BALI","ID-51","0"
"2001","INDONESIA","ID","GORONTALO","ID-7502","GORONTALO","ID-75","84733.628470651"
"2001","INDONESIA","ID","GORONTALO (KOTA)","ID-7571","GORONTALO","ID-75","0"
"2001","INDONESIA","ID","GORONTALO UTARA","ID-7505","GORONTALO","ID-75","1436.13952941166"
"2001","INDONESIA","ID","GOWA","ID-7306","SULAWESI SELATAN","ID-73","33663.7560000084"
"2001","INDONESIA","ID","GRESIK","ID-3525","JAWA TIMUR","ID-35","3.06"
"2001","INDONESIA","ID","GROBOGAN","ID-3315","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","GUNUNG KIDUL","ID-3403","D I YOGYAKARTA","ID-34","9"
"2001","INDONESIA","ID","GUNUNG MAS","ID-6211","KALIMANTAN TENGAH","ID-62","195011.697882515"
"2001","INDONESIA","ID","GUNUNG SITOLI (KOTA)","ID-1278","SUMATERA UTARA","ID-12","26.0467058823529"
"2001","INDONESIA","ID","HALMAHERA BARAT","ID-8201","MALUKU UTARA","ID-82","390397.491176718"
"2001","INDONESIA","ID","HALMAHERA SELATAN","ID-8204","MALUKU UTARA","ID-82","561081.98152939"
"2001","INDONESIA","ID","HALMAHERA TENGAH","ID-8202","MALUKU UTARA","ID-82","472553.577882144"
"2001","INDONESIA","ID","HALMAHERA TIMUR","ID-8206","MALUKU UTARA","ID-82","335953.944352907"
