year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2005","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","61.0401176470587"
"2005","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","192.508588235294"
"2005","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","38463.816352943"
"2005","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","5831.35305882351"
"2005","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","63252.8781176453"
"2005","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","16445.2912941173"
"2005","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","19244.2245882345"
"2005","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","2697.91482352951"
"2005","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","2552.70847058824"
"2005","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","427.942588235295"
"2005","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","1535.66329411766"
"2005","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","2780.54011764708"
"2005","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","367.380000000006"
"2005","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","333.53541176471"
"2005","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","12569.5041176462"
"2005","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","7323.61129411775"
"2005","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","214225.034117665"
"2005","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","2084.71305882351"
"2005","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","3616.27447058825"
"2005","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","10753.261764706"
"2005","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","7301.47094117603"
"2005","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","1678.92000000002"
"2005","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","16995.9398823545"
"2005","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","2619.85164705878"
"2005","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","38774.0287058863"
"2006","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","10082.7868235288"
"2006","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","35.73"
"2006","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","1.01505882352941"
