year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
"2006","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","5442521.0812829"
"2006","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","1621382.44341032"
"2006","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","689271.865059522"
"2006","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","2606752.82611645"
"2006","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","859538.555647718"
"2006","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","2000017.92352957"
"2007","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3582445.91752545"
"2007","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63657.6508235657"
"2007","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65892.9924706371"
"2007","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","254031.688588182"
"2007","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2007","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2007","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","339560.493882684"
"2007","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","1953548.37952785"
"2007","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","293243.596588308"
"2007","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","87859.2194117751"
"2007","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","264006.083647231"
"2007","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","9542633.82028239"
"2007","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","1005276.70447056"
"2007","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","7761632.30183714"
"2007","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","6529506.5060517"
"2007","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","3920019.75032482"
"2007","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","255449.561294288"
"2007","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","223153.624588395"
"2007","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","262779.524470812"
"2007","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","3074791.75445951"
"2007","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","2243265.54423559"
"2007","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","451149.772235716"
"2007","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","170992.894941204"
"2007","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","25217853.6930352"
"2007","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","9680246.02936897"
"2007","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","2730230.66964678"
"2007","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","355566.406941511"
"2007","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","1174768.37894099"
"2007","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","5431742.35904766"
"2007","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","1617129.93211619"
"2007","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","687551.000471284"
"2007","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","2586736.66905771"
"2007","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","856702.684588891"
"2007","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","1983544.86317663"
"2008","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3561400.31258426"
"2008","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63656.1208235657"
"2008","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65889.9324706371"
"2008","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","251778.09423524"
"2008","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2008","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2008","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","339180.80364739"
